mt19937,minstd,knuth_b,ranlux48,Quasi
52.76403,75.33777,32.77541,83.29156,0
11.66488,14.77252,73.01178,87.19291,50
18.60095,15.99951,93.25879,74.42717,75
52.94152,5.31202,40.58508,30.70257,25
25.69906,4.12762,89.94485,23.17135,37.5
39.38157,5.73708,36.84587,38.24779,87.5
35.94437,62.44564,30.43566,36.69931,62.5
37.45691,8.18854,54.27951,11.27891,12.5
35.09516,11.09542,88.30087,24.41579,18.75
93.23288,39.51671,83.21114,18.96205,68.75
0.17651,28.93524,73.69428,7.34018,93.75
20.38218,42.97302,9.06638,31.56583,43.75
37.12812,28.1369,92.06222,23.74182,31.25
85.00283,28.17144,28.73139,80.15285,81.25
69.56197,91.38872,48.28458,67.67904,56.25
38.40561,19.03699,86.3282,48.86643,6.25
51.83844,0.75459,51.11559,8.20542,9.375
72.9838,45.09718,71.65183,40.71457,59.375
44.78686,45.76341,34.81842,69.96082,84.375
24.16275,50.31762,84.35106,3.46661,34.375
27.75315,18.46547,39.09041,80.85058,46.875
87.14883,75.6193,97.49913,49.46665,96.875
70.45199,1.94412,0.07426,47.46376,71.875
56.04855,3.46371,30.4085,42.14492,21.875
91.55424,24.68876,68.51362,56.32838,15.625
66.58564,21.94604,87.25308,17.55318,65.625
26.03573,74.96705,0.50215,19.31975,90.625
26.24608,52.12028,40.55042,28.07473,40.625
75.65666,48.17087,75.79585,58.11052,28.125
48.19525,80.4614,7.60966,63.81405,78.125
14.79225,20.86227,79.73127,60.42938,53.125
48.59581,70.83345,98.60635,98.58245,3.125
54.73879,85.83002,54.8932,45.56493,4.6875
85.15301,13.41395,20.32938,97.47358,54.6875
42.04639,26.92544,78.83522,81.70884,79.6875
94.91468,65.61603,99.86269,5.78982,29.6875
37.34321,37.71697,75.64714,23.06301,42.1875
3.76846,5.3509,50.64175,32.35014,92.1875
62.12892,49.68302,75.15033,62.57955,67.1875
35.28558,73.95091,65.02889,81.62485,17.1875
58.29899,61.89676,96.64756,47.8941,23.4375
90.30199,45.41556,21.77944,1.02539,73.4375
89.69918,90.41804,29.67337,90.7413,98.4375
62.20095,95.1549,12.68023,78.46926,48.4375
22.98887,39.78784,65.97082,17.62535,35.9375
30.97114,59.86791,92.23224,36.04926,85.9375
10.35846,80.02192,48.4868,21.53061,60.9375
95.50028,23.5583,44.19764,43.05316,10.9375
90.46764,17.17224,49.40097,2.32504,7.8125
1.11992,57.51051,35.40579,85.89561,57.8125
72.97394,53.82359,0.87141,72.4107,82.8125
96.26245,60.68982,88.61526,9.57024,32.8125
40.76611,99.65578,88.64088,85.35795,45.3125
46.9799,36.06746,48.98181,89.1814,95.3125
59.32655,99.88325,88.60483,90.76495,70.3125
74.38724,47.69174,47.17999,92.92237,20.3125
67.89014,51.71642,0.42746,30.20834,14.0625
71.24698,50.92784,23.23548,27.76459,64.0625
33.73003,86.6727,78.41576,16.60518,89.0625
81.77571,14.94157,55.54622,71.92364,39.0625
73.37319,91.26221,37.79858,27.75237,26.5625
57.26034,81.82183,23.24641,44.12856,76.5625
48.60877,21.38246,99.8095,15.59811,51.5625
72.29916,26.23595,68.46364,83.11884,1.5625
7.29051,62.67843,18.0396,3.41355,2.34375
49.07887,48.86229,95.39685,56.00628,52.34375
3.81358,59.5597,8.42193,18.86001,77.34375
55.715,7.35569,96.66103,21.39161,27.34375
89.9971,10.20876,61.17145,95.03469,39.84375
96.72306,23.16749,13.81905,82.1993,89.84375
86.91432,79.47871,83.61957,26.96895,64.84375
