Quasi,mt19937,minstd,knuth_b,ranlux48
0,43.00324,41.14747,43.47939,10.0435
50,59.27611,78.71835,15.03779,67.93475
75,10.70513,87.11747,44.72011,80.63665
25,52.08615,68.63417,96.98853,63.23704
37.5,19.7547,29.42981,42.27817,76.61539
87.5,33.52002,20.18293,5.02101,95.09022
62.5,39.28856,90.60223,78.91768,79.56612
12.5,0.48035,40.6313,98.12758,1.45703
18.75,25.92958,23.41686,1.04165,52.6494
68.75,66.05515,98.81277,52.85286,57.51333
93.75,59.26935,35.29624,78.84174,60.65529
43.75,19.43061,5.20238,2.35116,61.9623
31.25,74.46149,77.92487,43.5769,52.39609
81.25,73.70666,3.97166,59.86826,6.78543
56.25,4.70262,2.16552,84.98629,65.93855
6.25,11.33816,96.37653,67.44141,25.8066
9.375,27.10963,14.76293,23.65294,56.21012
59.375,99.4505,34.27105,60.75021,74.69714
84.375,35.65945,65.12208,37.12639,4.7146
34.375,27.67156,3.68743,22.98089,67.04826
46.875,23.27752,79.19831,84.58498,69.45806
96.875,94.23955,36.18005,62.0185,32.56336
71.875,78.4663,42.35575,61.2187,36.98754
21.875,20.11634,24.04848,16.02007,44.54816
15.625,53.4577,91.74663,85.44676,94.20733
65.625,46.47553,53.33186,48.83098,56.07201
90.625,43.15366,18.51407,91.51589,71.55236
40.625,6.2009,20.83965,4.76107,59.10707
28.125,77.83991,60.0936,7.72041,10.13655
78.125,89.86575,43.91819,19.69442,87.46495
53.125,30.5845,99.96465,5.42244,59.36653
3.125,15.89994,90.8634,33.20936,23.62533
4.6875,45.93517,27.82428,0.46908,63.3081
54.6875,61.95201,4.67612,4.14443,75.64463
79.6875,22.94568,38.47287,24.1885,34.85512
29.6875,85.1275,54.2343,40.95457,62.30321
42.1875,27.62933,45.47744,41.30904,30.73896
92.1875,19.27305,38.31215,62.08662,60.12318
67.1875,73.68638,28.23071,5.03104,85.28126
17.1875,98.65836,20.17174,53.29512,20.61338
23.4375,18.24027,51.3036,53.89642,62.87257
73.4375,68.80242,4.20106,88.74782,74.99714
98.4375,34.00105,33.85668,97.28398,16.77178
48.4375,19.58521,29.36207,99.7626,18.13652
35.9375,94.29781,40.26031,44.06527,50.15879
85.9375,21.52144,80.68396,39.89752,98.1413
60.9375,18.67174,25.18054,53.59407,46.16599
10.9375,77.42363,15.30476,61.86647,75.07739
7.8125,91.63013,51.66312,86.39303,74.2634
57.8125,64.52471,57.88325,86.78841,51.4552
82.8125,74.81032,78.08798,5.94555,92.74547
32.8125,44.33066,16.85174,53.94818,90.1956
45.3125,95.35751,85.97216,9.49326,14.90098
95.3125,3.30832,79.75216,65.3573,75.23841
70.3125,57.9068,47.20133,81.05192,35.3526
20.3125,95.5473,31.97884,75.22504,96.31525
14.0625,90.15507,74.34305,23.06357,31.38639
64.0625,66.06523,58.72935,41.001,38.59737
89.0625,51.52377,36.14276,10.90351,18.7037
39.0625,61.72581,37.36404,85.72042,25.94813
26.5625,40.17442,73.7527,80.32611,89.49491
76.5625,24.05202,43.47753,37.66534,45.95192
51.5625,37.56453,79.41509,29.94452,41.18416
1.5625,52.85358,59.25931,30.17124,62.52996
2.34375,70.889,11.8091,96.3673,17.72365
52.34375,42.90589,53.02506,98.56579,97.51061
77.34375,58.16764,65.5776,19.37105,57.66503
27.34375,23.18652,23.96174,7.07742,65.96137
39.84375,40.16052,16.1886,48.3145,20.4519
89.84375,45.33909,46.20829,75.20597,74.08464
64.84375,17.87583,84.94432,78.79186,21.31924
14.84375,3.65851,24.77665,7.66669,46.51843
21.09375,97.78993,71.90712,16.16465,83.0697
71.09375,36.40183,54.88562,18.7508,95.02626
96.09375,10.64964,56.5617,12.37175,30.39675
46.09375,83.70779,70.75976,61.16422,38.40348
33.59375,17.50002,43.61677,50.16945,70.12189
83.59375,67.29725,84.04942,93.1817,85.39907
58.59375,6.7391,23.8369,3.70088,65.12403
8.59375,52.99689,66.55024,55.60022,55.93661
11.71875,52.21991,69.51017,40.53262,49.95061
61.71875,28.78643,45.55735,63.8691,99.13415
86.71875,53.80257,26.62707,89.00066,36.96861
36.71875,99.06792,13.28516,5.90276,47.92025
49.21875,32.72061,52.83631,79.71521,5.09947
99.21875,77.01377,37.45654,58.48989,82.08312
74.21875,52.60023,57.54142,77.69442,16.83439
24.21875,46.91845,4.06734,26.64344,25.2668
17.96875,60.32584,86.82201,9.60298,17.02189
67.96875,19.12603,59.91222,81.07768,22.048
92.96875,27.67316,7.01574,7.64394,63.8362
42.96875,83.9642,77.47735,75.09764,21.59014
30.46875,59.27749,52.3648,84.83956,19.53586
80.46875,10.52196,38.23558,46.54989,71.74193
55.46875,47.91783,97.02041,28.33195,30.02983
5.46875,59.80072,33.86209,41.63534,27.05776
3.90625,13.16421,14.27538,25.36328,70.99298
53.90625,83.25102,20.23551,95.192,25.05625
78.90625,84.89157,1.00612,5.18146,31.7782
28.90625,68.04574,62.28434,49.27619,34.61796
41.40625,58.73168,34.09375,70.83732,63.74825
91.40625,35.26607,30.87057,25.52577,32.69593
66.40625,24.89816,12.01756,94.1537,17.88911
16.40625,8.80255,94.87116,80.1524,20.59733
22.65625,23.56059,97.11585,72.49704,16.13762
72.65625,45.95851,74.44384,34.31609,27.52844
97.65625,83.37709,11.95707,36.27844,36.7555
47.65625,61.88893,97.73039,72.81382,15.59684
35.15625,97.44947,12.19856,79.04421,92.04659
85.15625,83.85812,13.27508,1.37755,55.8316
