x,y (Euler),y (midpoint),y (RK44),EXACT,%Err(E),%Err(M),%Err(RK4)
----,----------,----------,----------,----------,-------,-------,------
10,0,0,0,-38.93988091,-1%,-1%,-1%
10,71.60682836,79.65635061,79.15314375,36.25552698,0.975%,1.2%,1.18%
10,154.643308,162.5937354,161.2035866,109.9322677,0.407%,0.479%,0.466%
10,230.9724123,229.2317552,226.7153063,162.7734496,0.419%,0.408%,0.393%
10,282.5188318,262.340988,258.6761332,178.8481955,0.58%,0.467%,0.446%
10,295.9978628,251.7882542,247.1937427,150.1100458,0.972%,0.677%,0.647%
11,266.8982521,197.9377054,192.8361065,79.31838158,2.36%,1.5%,1.43%
11,201.6051553,112.6822244,107.6054602,-19.54259917,-11.3%,-6.77%,-6.51%
11,116.9158473,17.58795626,13.04387148,-123.7194807,-1.95%,-1.14%,-1.11%
11,36.80017303,-60.66894975,-64.33844333,-206.6836275,-1.18%,-0.706%,-0.689%
11,-13.04139858,-96.67137602,-99.40464556,-244.6320252,-0.947%,-0.605%,-0.594%
11,-11.63841906,-72.96961391,-75.03958706,-222.9631144,-0.948%,-0.673%,-0.663%
11,51.34329571,14.57984642,12.5918182,-141.0411638,-1.36%,-1.1%,-1.09%
11,171.8442495,154.3776908,151.6899642,-13.83036898,-13.4%,-12.2%,-12%
11,331.0061009,320.4865073,316.2876892,130.3554268,1.54%,1.46%,1.43%
11,498.5771409,477.9160545,471.5600712,255.8108062,0.949%,0.868%,0.843%
12,639.6442328,590.8234217,582.0008635,327.9453987,0.95%,0.802%,0.775%
12,723.2912292,631.80301,620.6415783,322.39522,1.24%,0.96%,0.925%
12,731.135786,589.965997,577.0263476,232.4332298,2.15%,1.54%,1.48%
12,663.5127786,475.5818427,461.7387546,72.57336702,8.14%,5.55%,5.36%
12,541.4497977,319.7141222,305.9416694,-122.9693811,-5.4%,-3.6%,-3.49%
12,403.4793676,168.4197332,155.5260426,-307.1034649,-2.31%,-1.55%,-1.51%
12,297.5746769,72.44889268,60.82395962,-430.7511146,-1.69%,-1.17%,-1.14%
12,269.7938347,74.65189615,64.09518809,-455.4004806,-1.59%,-1.16%,-1.14%
12,352.2403051,198.1269947,187.8078254,-364.2305795,-1.97%,-1.54%,-1.52%
12,553.3993398,438.2702852,426.8449692,-168.7662759,-4.28%,-3.6%,-3.53%
